title,magnitude,cdi,mmi,alert,tsunami,sig,net,nst,dmin,gap,magType,depth,latitude,longitude,location,continent,country
"M 7.0 - 85 km ENE of Tadine, New Caledonia",7.0,4,6,green,1,771,us,0,0.617,14.0,mww,10.0,-21.3246,168.671,"Tadine, New Caledonia",,
"M 6.6 - 74 km E of Tadine, New Caledonia",6.6,4,5,green,1,676,us,0,0.529,21.0,mww,13.0,-21.5027,168.598,"Tadine, New Caledonia",,
"M 6.5 - 18 km W of Parrita, Costa Rica",6.5,8,8,yellow,1,1153,us,0,0.225,37.0,mww,19.36,9.5147,-84.4865,"Parrita, Costa Rica",,Costa Rica
"M 6.5 - 67 km WSW of Angoram, Papua New Guinea",6.5,6,5,green,1,661,us,0,4.449,10.0,mww,110.57,-4.2433,143.485,"Angoram, Papua New Guinea",,Papua New Guinea
"M 6.8 - 97 km NE of Hihifo, Tonga",6.8,5,5,green,1,727,us,0,4.852,21.0,mww,10.0,-15.3197,-173.168,"Hihifo, Tonga",,
"M 6.6 - 101 km E of Tadine, New Caledonia",6.6,3,5,green,1,674,us,0,0.788,29.0,mww,22.0,-21.6484,168.859,"Tadine, New Caledonia",,
"M 6.7 - 132 km E of Tadine, New Caledonia",6.7,3,4,green,1,691,us,0,1.062,55.0,mww,24.0,-21.6971,169.148,"Tadine, New Caledonia",,
"M 6.5 - 247 km ESE of Attu Station, Alaska",6.5,3,5,green,1,651,us,0,1.154,11.0,mww,119.0,52.3909,176.769,"Attu Station, Alaska",North America,
"M 8.2 - near the coast of Chiapas, Mexico",8.2,9,7,red,1,2910,us,0,0.944,22.0,mww,47.39,15.0222,-93.8993,"Chiapas, Mexico",,
"M 7.7 - Komandorskiye Ostrova, Russia region",7.7,8,7,green,1,918,us,0,3.564,13.0,mww,10.0,54.4434,168.857,"Komandorskiye Ostrova, Russia region",,
"M 6.6 - Auckland Islands, New Zealand region",6.6,5,4,green,1,704,us,0,3.773,37.0,mww,10.0,-49.4837,164.016,"Auckland Islands, New Zealand region",,
"M 6.5 - 2 km S of Lim-oo, Philippines",6.5,9,8,yellow,1,740,us,0,4.139,30.0,mww,9.0,11.1269,124.629,"Lim-oo, Philippines",,Philippines
"M 6.8 - 28 km SW of Puerto San José, Guatemala",6.8,6,6,yellow,1,1034,us,0,1.065,38.0,mww,38.12,13.7174,-90.9718,"Puerto San José, Guatemala",,
"M 6.9 - 2 km SSW of San Pablo, Guatemala",6.9,8,6,yellow,1,1188,us,0,0.247,35.0,mww,93.0,14.9091,-92.0092,"San Pablo, Guatemala",,Guatemala
"M 6.8 - 200 km NW of Attu Station, Alaska",6.8,0,4,green,1,711,us,0,2.308,12.0,mww,5.0,54.0312,170.92,"Attu Station, Alaska",,
M 6.5 - South Sandwich Islands region,6.5,0,4,green,1,650,us,0,6.489,17.0,mww,15.0,-56.414,-25.7432,South Sandwich Islands region,,
"M 6.8 - 59 km NNE of Port-Olry, Vanuatu",6.8,6,5,green,1,713,us,0,7.495,19.0,mww,169.0,-14.5884,167.377,"Port-Olry, Vanuatu",,Vanuatu
"M 6.9 - 31 km SW of Burias, Philippines",6.9,9,6,green,1,814,us,0,1.636,14.0,mww,26.0,5.5043,125.066,"Burias, Philippines",,Philippines
"M 6.9 - 40 km W of Valparaíso, Chile",6.9,9,7,yellow,1,1642,us,0,0.356,39.0,mww,28.0,-33.0375,-72.0617,"Valparaíso, Chile",,
"M 6.6 - 81 km NNE of Ust’-Kamchatsk Staryy, Russia",6.6,6,7,yellow,1,671,us,0,4.591,14.0,mww,17.0,56.9401,162.786,"Ust’-Kamchatsk Staryy, Russia",Asia,Russia
M 6.9 - south of the Fiji Islands,6.9,2,3,green,1,733,us,0,6.012,19.0,mww,414.5,-23.2593,-178.804,the Fiji Islands,,
"M 6.5 - 11 km N of Mabua, Philippines",6.5,8,7,yellow,1,718,us,0,2.822,36.0,mww,15.0,9.9071,125.452,"Mabua, Philippines",,Philippines
"M 7.9 - 35 km WNW of Panguna, Papua New Guinea",7.9,9,7,yellow,1,987,us,0,3.625,9.0,mww,135.0,-6.2464,155.172,"Panguna, Papua New Guinea",,Papua New Guinea
"M 6.5 - 65 km W of Kirakira, Solomon Islands",6.5,6,6,green,1,654,us,0,1.64,21.0,mww,36.0,-10.3506,161.335,"Kirakira, Solomon Islands",,Solomon Islands
"M 7.3 - 189 km SSE of Tabiauan, Philippines",7.3,6,3,green,1,849,us,0,3.813,18.0,mww,627.17,4.4782,122.617,"Tabiauan, Philippines",,
"M 6.9 - 225 km SW of Nadi, Fiji",6.9,6,4,green,1,742,us,0,2.495,13.0,mww,12.0,-19.3733,176.052,"Nadi, Fiji",,
"M 7.6 - 41 km SW of Quellón, Chile",7.6,9,8,yellow,1,1152,us,0,0.355,29.0,mww,38.0,-43.4064,-73.9413,"Quellón, Chile",South America,Chile
"M 7.9 - 140 km E of Kokopo, Papua New Guinea",7.9,9,7,yellow,1,972,us,0,1.389,13.0,mww,94.54,-4.5049,153.522,"Kokopo, Papua New Guinea",,Papua New Guinea
"M 6.9 - 92 km WSW of Kirakira, Solomon Islands",6.9,8,6,green,1,737,us,0,1.747,26.0,mww,19.73,-10.749,161.132,"Kirakira, Solomon Islands",,
"M 7.8 - 69 km WSW of Kirakira, Solomon Islands",7.8,9,8,green,1,961,us,0,1.836,13.0,mww,40.0,-10.6812,161.327,"Kirakira, Solomon Islands",,Solomon Islands
"M 6.6 - 164 km W of Ferndale, California",6.6,5,4,green,1,1120,us,0,1.405,55.0,mww,8.45,40.4535,-126.194,"Ferndale, California",,
"M 6.9 - 156 km SSW of Puerto El Triunfo, El Salvador",6.9,5,4,green,1,855,us,0,1.796,20.0,mww,10.0,11.9097,-88.8968,"Puerto El Triunfo, El Salvador",,
"M 6.9 - 35 km ESE of Namie, Japan",6.9,9,6,green,1,1144,us,0,0.671,10.0,mww,9.0,37.3931,141.387,"Namie, Japan",Asia,
"M 6.5 - 74 km NE of Amberley, New Zealand",6.5,7,7,yellow,1,664,us,0,0.283,56.0,mww,9.0,-42.6058,173.254,"Amberley, New Zealand",,New Zealand
"M 6.5 - 92 km SSW of Blenheim, New Zealand",6.5,6,7,yellow,1,656,us,0,0.135,58.0,mww,10.0,-42.3205,173.669,"Blenheim, New Zealand",,New Zealand
"M 7.8 - 53 km NNE of Amberley, New Zealand",7.8,9,9,orange,1,1545,us,0,0.481,21.0,mww,15.11,-42.7373,173.054,"Amberley, New Zealand",,New Zealand
"M 6.8 - 76 km WNW of Kandrian, Papua New Guinea",6.8,3,6,green,1,716,us,0,3.727,11.0,mww,42.0,-6.0033,148.887,"Kandrian, Papua New Guinea",,Papua New Guinea
M 6.9 - Fiji region,6.9,2,3,green,1,733,us,0,4.051,9.0,mww,596.4,-19.7819,-178.244,Fiji region,,Fiji
"M 7.0 - 175 km NE of Gisborne, New Zealand",7.0,5,6,green,1,897,us,0,0.698,21.0,mww,19.0,-37.3586,179.146,"Gisborne, New Zealand",,
"M 6.8 - 90 km NE of Rabaul, Papua New Guinea",6.8,4,3,green,1,713,us,0,0.803,12.0,mww,476.0,-3.6849,152.792,"Rabaul, Papua New Guinea",,Papua New Guinea
M 7.2 - southeast of the Loyalty Islands,7.2,6,5,green,1,799,us,0,4.823,14.0,mww,16.37,-22.4765,173.117,the Loyalty Islands,,
"M 7.7 - Pagan region, Northern Mariana Islands",7.7,5,6,green,1,971,us,0,3.294,14.0,mww,196.0,18.5429,145.507,"Pagan region, Northern Mariana Islands",,
M 7.2 - South Sandwich Islands region,7.2,1,6,green,1,798,us,0,5.803,24.0,mww,78.0,-56.2409,-26.9353,South Sandwich Islands region,,
M 6.9 - ,6.9,3,3,green,1,733,us,0,5.485,19.0,mww,405.69,-21.9724,-178.204,,,
"M 6.9 - 24 km NW of Rosa Zarate, Ecuador",6.9,8,7,green,1,780,us,0,1.192,17.0,mww,29.95,0.4947,-79.616,"Rosa Zarate, Ecuador",South America,Ecuador
"M 6.7 - 32 km SE of Muisne, Ecuador",6.7,5,7,green,1,744,us,0,1.352,21.0,mww,16.0,0.4261,-79.7899,"Muisne, Ecuador",South America,Ecuador
"M 7.0 - 3 km NW of Norsup, Vanuatu",7.0,7,7,green,1,755,us,0,0.616,14.0,mww,24.0,-16.0429,167.379,"Norsup, Vanuatu",,Vanuatu
"M 7.8 - 27 km SSE of Muisne, Ecuador",7.8,9,9,orange,1,1163,us,0,1.44,15.0,mww,20.59,0.3819,-79.9218,"Muisne, Ecuador",South America,Ecuador
"M 7.0 - 6 km ESE of Kumamoto, Japan",7.0,9,9,red,1,2074,us,0,0.349,32.0,mww,10.0,32.7906,130.754,"Kumamoto, Japan",Asia,Japan
"M 6.7 - 104 km W of Sola, Vanuatu",6.7,7,5,green,1,692,us,0,6.787,25.0,mww,27.59,-13.9805,166.594,"Sola, Vanuatu",,Vanuatu
"M 6.7 - 102 km WSW of Sola, Vanuatu",6.7,7,6,green,1,691,us,0,6.697,19.0,mww,24.0,-14.0683,166.624,"Sola, Vanuatu",,Vanuatu
"M 6.9 - 82 km NNW of Port-Olry, Vanuatu",6.9,7,6,green,1,734,us,0,1.166,25.0,mww,26.0,-14.3235,166.855,"Port-Olry, Vanuatu",,Vanuatu
"M 7.2 - 80 km S of Mil’kovo, Russia",7.2,3,7,green,1,799,us,0,0.958,17.0,mww,177.0,53.9776,158.546,"Mil’kovo, Russia",Asia,Russia
"M 7.1 - 47 km ESE of Pedro Bay, Alaska",7.1,7,7,green,1,1496,ak,0,0.0,0.0,mw,125.6,59.6204,-153.339,"Pedro Bay, Alaska",North America,United States of America
"M 6.6 - 203 km SW of La Cruz de Loreto, Mexico",6.6,3,4,green,1,673,us,0,2.413,74.0,mww,10.0,18.8239,-106.934,"La Cruz de Loreto, Mexico",,
"M 6.7 - 52 km SE of Shizunai-furukawach?, Japan",6.7,5,6,green,1,717,us,0,0.281,22.0,mww,46.0,41.9723,142.781,"Shizunai-furukawach?, Japan",Asia,Japan
"M 6.5 - 227 km SE of Sarangani, Philippines",6.5,3,6,green,1,651,us,0,3.144,22.0,mww,13.0,3.8965,126.862,"Sarangani, Philippines",,Indonesia
"M 6.6 - 4 km W of Manuel Ávila Camacho (Ponte Duro), Mexico",6.6,8,6,green,1,765,us,0,0.41,35.0,mww,85.0,15.8015,-93.633,"Manuel Ávila Camacho (Ponte Duro), Mexico",,Mexico
"M 7.6 - 155 km WNW of Iñapari, Peru",7.6,6,5,green,1,957,us,0,3.287,10.0,mww,606.21,-10.5372,-70.9437,"Iñapari, Peru",South America,Peru
"M 6.8 - 153 km WSW of Buala, Solomon Islands",6.8,5,6,green,1,715,us,0,1.599,19.0,mww,12.59,-8.8994,158.422,"Buala, Solomon Islands",,Solomon Islands
"M 6.9 - 81 km NW of Coquimbo, Chile",6.9,6,6,green,1,761,us,0,0.784,32.0,mww,12.0,-29.5067,-72.0068,"Coquimbo, Chile",,
"M 6.8 - 39 km SW of Ovalle, Chile",6.8,7,7,green,1,841,us,0,0.258,41.0,mww,46.0,-30.8796,-71.4519,"Ovalle, Chile",South America,Chile
"M 7.1 - 31 km NE of Port-Olry, Vanuatu",7.1,6,6,green,1,780,us,0,0.592,11.0,mww,135.0,-14.8595,167.303,"Port-Olry, Vanuatu",,Vanuatu
"M 6.6 - 22 km WSW of Illapel, Chile",6.6,5,7,green,1,820,us,0,1.064,14.0,mww,35.0,-31.7275,-71.3792,"Illapel, Chile",South America,Chile
"M 8.3 - 48 km W of Illapel, Chile",8.3,9,8,orange,1,1960,us,0,0.684,19.0,mww,22.44,-31.5729,-71.6744,"Illapel, Chile",,Chile
"M 6.7 - 95 km SW of Topolobampo, Mexico",6.7,5,5,green,1,708,us,0,1.256,123.0,mww,10.0,24.913,-109.623,"Topolobampo, Mexico",,
"M 6.5 - 177 km SE of Gizo, Solomon Islands",6.5,0,5,green,1,650,us,0,2.045,16.0,mww,6.43,-9.3293,157.877,"Gizo, Solomon Islands",,
"M 6.6 - 186 km WNW of Malango, Solomon Islands",6.6,3,5,green,1,671,us,0,1.872,20.0,mww,22.0,-9.3438,158.053,"Malango, Solomon Islands",,
"M 7.0 - 234 km W of Abepura, Indonesia",7.0,9,7,green,1,762,us,0,6.278,12.0,mww,48.0,-2.6286,138.528,"Abepura, Indonesia",,Indonesia
"M 6.9 - Fox Islands, Aleutian Islands, Alaska",6.9,4,7,green,1,734,us,0,0.444,39.0,mww,29.0,52.376,-169.446,"Fox Islands, Aleutian Islands, Alaska",,
"M 7.0 - 80 km WNW of Lata, Solomon Islands",7.0,8,6,green,1,759,us,0,5.205,22.0,mww,11.0,-10.4012,165.141,"Lata, Solomon Islands",,
"M 6.5 - 128 km NE of Bathsheba, Barbados",6.5,4,4,green,1,686,us,0,1.218,20.0,mww,20.0,13.8672,-58.5479,"Bathsheba, Barbados",,
"M 6.7 - 150 km WNW of Malango, Solomon Islands",6.7,4,5,green,1,691,us,0,1.529,11.0,mww,12.0,-9.307,158.403,"Malango, Solomon Islands",,Solomon Islands
"M 7.8 - Bonin Islands, Japan region",7.8,6,3,green,1,1151,us,0,1.675,12.0,mww,664.0,27.8386,140.493,"Bonin Islands, Japan region",,
"M 6.8 - 117 km SSE of Ugashik, Alaska",6.8,5,6,green,1,762,ak,0,0.0,0.0,mw,72.6,56.594,-156.43,"Ugashik, Alaska",,
"M 6.8 - 159 km ESE of Kirakira, Solomon Islands",6.8,1,5,green,1,711,us,0,3.619,18.0,mww,10.0,-11.1093,163.215,"Kirakira, Solomon Islands",,
"M 6.9 - 205 km ESE of Kirakira, Solomon Islands",6.9,1,4,green,1,732,us,0,4.024,22.0,mww,11.19,-11.0559,163.696,"Kirakira, Solomon Islands",,
"M 6.8 - 178 km W of Lata, Solomon Islands",6.8,1,4,green,1,711,us,0,4.395,15.0,mww,11.0,-10.8759,164.169,"Lata, Solomon Islands",,
"M 6.8 - 32 km SE of ?funato, Japan",6.8,8,6,green,1,831,us,0,1.422,8.0,mww,35.0,38.9056,142.032,"?funato, Japan",Asia,Japan
"M 7.1 - 143 km SW of Panguna, Papua New Guinea",7.1,1,6,green,1,776,us,0,3.835,11.0,mww,10.0,-7.2175,154.557,"Panguna, Papua New Guinea",,
"M 7.5 - 131 km SSW of Kokopo, Papua New Guinea",7.5,7,8,green,1,869,us,0,1.295,22.0,mww,55.0,-5.4624,151.875,"Kokopo, Papua New Guinea",,Papua New Guinea
"M 6.8 - 109 km SSW of Kokopo, Papua New Guinea",6.8,5,6,green,1,714,us,0,1.074,23.0,mww,44.0,-5.2005,151.777,"Kokopo, Papua New Guinea",,Papua New Guinea
"M 6.7 - 126 km SSW of Kokopo, Papua New Guinea",6.7,5,6,green,1,692,us,0,1.239,12.0,mww,31.0,-5.375,151.771,"Kokopo, Papua New Guinea",,Papua New Guinea
"M 6.5 - 181 km SSW of Alo, Wallis and Futuna",6.5,0,5,green,1,650,us,0,3.702,42.0,mww,10.0,-15.8815,-178.6,"Alo, Wallis and Futuna",,
"M 6.5 - 96 km ENE of Hihifo, Tonga",6.5,2,5,green,1,650,us,0,4.629,36.0,mww,11.0,-15.4994,-173.029,"Hihifo, Tonga",,
"M 7.5 - 53 km SE of Kokopo, Papua New Guinea",7.5,6,7,green,1,872,us,0,0.666,19.0,mww,41.0,-4.7294,152.562,"Kokopo, Papua New Guinea",,Papua New Guinea
"M 6.7 - 83 km ENE of Miyako, Japan",6.7,5,5,green,1,714,us,0,1.925,20.0,mww,23.0,39.8558,142.881,"Miyako, Japan",,
"M 6.7 - 103 km W of El Aguilar, Argentina",6.7,4,6,green,1,700,us,0,2.11,16.0,mww,223.0,-23.1125,-66.688,"El Aguilar, Argentina",South America,Argentina
"M 6.8 - 81 km NNE of Port-Vila, Vanuatu",6.8,1,4,green,1,711,us,0,2.019,13.0,mww,219.96,-17.0309,168.52,"Port-Vila, Vanuatu",,Vanuatu
"M 6.5 - 236 km S of Punta de Burica, Panama",6.5,1,4,green,1,650,us,0,4.318,61.0,mww,8.0,5.9045,-82.6576,"Punta de Burica, Panama",,
"M 6.6 - 22 km ESE of Punta de Burica, Panama",6.6,7,6,green,1,709,us,0,2.485,43.0,mww,20.0,7.9401,-82.6865,"Punta de Burica, Panama",,Panama
"M 6.6 - 115 km W of Panguna, Papua New Guinea",6.6,1,5,green,1,670,us,0,3.246,12.0,mww,23.0,-6.5108,154.46,"Panguna, Papua New Guinea",,
"M 6.8 - 157 km NW of Ternate, Indonesia",6.8,6,5,green,1,713,us,0,1.421,19.0,mww,39.0,1.9604,126.575,"Ternate, Indonesia",,Indonesia
"M 6.5 - 123 km WNW of Tobelo, Indonesia",6.5,5,5,green,1,652,us,0,1.549,9.0,mww,35.0,2.2999,127.056,"Tobelo, Indonesia",,Indonesia
"M 6.7 - 183 km NE of Gisborne, New Zealand",6.7,7,4,green,1,698,us,0,1.079,25.0,mww,22.0,-37.6478,179.662,"Gisborne, New Zealand",,
"M 7.1 - 155 km NW of Ternate, Indonesia",7.1,4,6,green,1,779,us,0,1.397,18.0,mww,45.0,1.8929,126.522,"Ternate, Indonesia",,Indonesia
"M 6.6 - 76 km NE of Finschhafen, Papua New Guinea",6.6,2,6,green,1,671,us,0,3.557,13.0,mww,53.19,-5.9873,148.232,"Finschhafen, Papua New Guinea",,Papua New Guinea
M 7.1 - Fiji region,7.1,3,6,green,1,776,us,0,4.415,13.0,mww,434.0,-19.6903,-177.759,Fiji region,,
"M 7.3 - 74 km S of Intipucá, El Salvador",7.3,8,6,yellow,1,982,us,0,1.078,18.0,mww,40.0,12.5262,-88.1225,"Intipucá, El Salvador",,
"M 6.7 - 43 km NW of Piti Village, Guam",6.7,5,5,green,1,724,us,0,0.46,11.0,mww,130.0,13.7641,144.429,"Piti Village, Guam",,
"M 6.8 - 38 km NW of Aniso, Peru",6.8,6,6,green,1,741,us,0,4.107,18.0,mww,101.0,-14.598,-73.5714,"Aniso, Peru",South America,Peru
M 6.9 - Federated States of Micronesia region,6.9,0,4,green,1,732,us,0,6.393,12.0,mww,13.0,0.8295,146.169,Micronesia region,,
M 6.9 - Fiji region,6.9,0,6,green,1,732,us,0,3.934,15.0,mww,615.42,-19.8015,-178.4,Fiji region,,Fiji
"M 6.5 - 139 km ESE of Namie, Japan",6.5,5,4,green,1,706,us,0,2.421,9.0,mww,20.0,37.0052,142.452,"Namie, Japan",,
"M 6.9 - 4 km W of Puerto Madero, Mexico",6.9,8,7,orange,1,1079,us,0,0.263,51.0,mww,53.0,14.724,-92.4614,"Puerto Madero, Mexico",,Mexico
"M 6.5 - 217 km SSE of Kokopo, Papua New Guinea",6.5,0,4,green,1,650,us,0,2.124,15.0,mww,20.0,-6.2304,152.807,"Kokopo, Papua New Guinea",,
"M 6.7 - 201 km SSE of Mata-Utu, Wallis and Futuna",6.7,0,5,green,1,691,us,0,6.713,45.0,mww,18.0,-14.9831,-175.51,"Mata-Utu, Wallis and Futuna",,
M 6.9 - South Sandwich Islands region,6.9,0,5,green,1,732,us,0,4.838,25.0,mww,8.0,-55.4703,-28.3669,South Sandwich Islands region,,
"M 7.9 - Rat Islands, Aleutian Islands, Alaska",7.9,6,8,green,1,963,us,0,0.133,22.0,mww,109.0,51.8486,178.735,"Rat Islands, Aleutian Islands, Alaska",North America,United States of America
"M 6.9 - Kermadec Islands, New Zealand",6.9,0,5,green,1,732,us,0,0.751,35.0,mww,20.0,-29.9772,-177.725,"Kermadec Islands, New Zealand",,
"M 6.5 - 110 km SE of Punta de Burica, Panama",6.5,7,5,green,1,694,us,0,3.121,33.0,mww,10.0,7.2096,-82.3045,"Punta de Burica, Panama",,
"M 6.6 - 239 km SSE of Isangel, Vanuatu",6.6,0,5,green,1,670,us,0,3.34,10.0,mww,106.0,-21.4542,170.355,"Isangel, Vanuatu",,
"M 6.5 - 107 km WSW of Vernon, Canada",6.5,4,6,green,1,838,us,0,0.0,0.0,mww,10.0,49.6388,-127.732,"Vernon, Canada",,
"M 7.5 - 70 km SW of Panguna, Papua New Guinea",7.5,0,6,green,1,865,us,0,3.82,16.0,mww,43.37,-6.7547,155.024,"Panguna, Papua New Guinea",,
"M 6.6 - 57 km SW of Panguna, Papua New Guinea",6.6,0,6,green,1,670,us,0,3.803,11.0,mww,29.0,-6.6558,155.087,"Panguna, Papua New Guinea",,Papua New Guinea
"M 7.2 - 9 km ENE of Coyuquilla Norte, Mexico",7.2,8,7,yellow,1,1017,us,0,2.25,46.0,mww,24.0,17.397,-100.972,"Coyuquilla Norte, Mexico",North America,Mexico
"M 7.4 - 112 km S of Kirakira, Solomon Islands",7.4,0,6,green,1,842,us,0,2.885,17.0,mww,39.0,-11.4633,162.051,"Kirakira, Solomon Islands",,
"M 7.6 - 93 km SSE of Kirakira, Solomon Islands",7.6,0,7,green,1,889,us,0,2.828,13.0,mww,22.56,-11.2701,162.148,"Kirakira, Solomon Islands",,
"M 6.6 - 15 km N of Belén, Nicaragua",6.6,6,5,green,1,677,us,0,0.761,20.0,mww,135.0,11.642,-85.8779,"Belén, Nicaragua",,Nicaragua
"M 6.5 - 78 km SW of Panguna, Papua New Guinea",6.5,0,6,green,1,650,us,0,3.787,16.0,mww,20.0,-6.7878,154.95,"Panguna, Papua New Guinea",,
"M 7.1 - 56 km WSW of Panguna, Papua New Guinea",7.1,0,7,green,1,776,us,0,3.729,21.0,mww,60.53,-6.5858,155.048,"Panguna, Papua New Guinea",,Papua New Guinea
"M 7.7 - 53 km SW of Iquique, Chile",7.7,8,9,yellow,1,1057,us,0,1.029,44.0,mww,22.4,-20.5709,-70.4931,"Iquique, Chile",,
"M 8.2 - 93 km NW of Iquique, Chile",8.2,9,8,yellow,1,1332,us,0,0.609,23.0,mww,25.0,-19.6097,-70.7691,"Iquique, Chile",,
"M 6.7 - 63 km WNW of Iquique, Chile",6.7,7,7,green,1,718,us,0,1.008,44.0,mww,20.0,-19.9807,-70.7022,"Iquique, Chile",,
"M 6.8 - 77 km WNW of Indianola, California",6.8,5,5,green,1,1211,nc,112,0.6568,229.0,mw,16.441,40.8287,-125.134,"Indianola, California",,
"M 6.5 - 109 km NW of Nago, Japan",6.5,4,5,green,1,668,us,0,1.001,17.0,mww,119.0,27.4312,127.367,"Nago, Japan",,
"M 6.5 - 171 km NNE of Greenland, Barbados",6.5,5,4,green,1,681,us,0,1.635,30.0,mww,14.83,14.6682,-58.9272,"Greenland, Barbados",,
"M 6.5 - 32 km E of Port-Olry, Vanuatu",6.5,0,5,green,1,650,us,0,0.409,20.0,mww,122.0,-15.0691,167.372,"Port-Olry, Vanuatu",,Vanuatu
M 6.5 - south of the Kermadec Islands,6.5,0,3,green,1,650,us,0,3.651,22.0,mww,44.26,-32.9076,-177.881,the Kermadec Islands,,
"M 6.5 - 32 km W of Sola, Vanuatu",6.5,0,4,green,1,650,us,0,3.997,14.0,mww,187.0,-13.8633,167.249,"Sola, Vanuatu",,Vanuatu
M 7.7 - Scotia Sea,7.7,1,8,green,1,912,us,0,8.05,23.0,mww,10.0,-60.2738,-46.4011,Scotia Sea,,United Kingdom of Great Britain and Northern Ireland (the)
M 6.9 - Scotia Sea,6.9,0,5,green,1,732,us,0,8.284,17.0,mww,9.97,-60.2627,-47.0621,Scotia Sea,,United Kingdom of Great Britain and Northern Ireland (the)
"M 6.6 - 41 km SSW of Coquimbo, Chile",6.6,6,7,green,1,723,us,0,0.636,31.0,mww,27.0,-30.2921,-71.5215,"Coquimbo, Chile",South America,Chile
"M 7.1 - off the east coast of Honshu, Japan",7.1,6,4,green,1,872,us,0,3.968,10.0,mww,35.0,37.1557,144.661,"off the east coast of Honshu, Japan",,
"M 6.6 - 98 km SW of Etchoropo, Mexico",6.6,8,5,green,1,692,us,0,1.98,44.0,mww,9.45,26.0913,-110.321,"Etchoropo, Mexico",,
"M 6.8 - 62 km WSW of Panguna, Papua New Guinea",6.8,0,6,green,1,711,us,0,5.79,9.0,mww,35.0,-6.4456,154.931,"Panguna, Papua New Guinea",,Papua New Guinea
"M 7.1 - 4 km SE of Sagbayan, Philippines",7.1,9,8,orange,1,1092,us,0,3.144,12.0,mww,19.04,9.8796,124.117,"Sagbayan, Philippines",,Philippines
"M 6.5 - Kermadec Islands, New Zealand",6.5,0,4,green,1,650,us,0,1.709,21.0,mww,41.54,-30.9255,-178.323,"Kermadec Islands, New Zealand",,
"M 7.1 - 16 km WSW of Atiquipa, Peru",7.1,8,7,green,1,843,us,0,4.446,17.0,mww,40.0,-15.8385,-74.5112,"Atiquipa, Peru",,Peru
"M 6.5 - 81 km SSW of Atka, Alaska",6.5,0,6,green,1,650,us,0,0.735,24.0,mww,20.0,51.5573,-174.767,"Atka, Alaska",,
"M 6.5 - 29 km SE of Blenheim, New Zealand",6.5,9,7,yellow,1,690,us,0,0.0,0.0,mww,8.2,-41.734,174.152,"Blenheim, New Zealand",,New Zealand
"M 6.7 - 101 km WSW of Bahía Solano, Colombia",6.7,4,5,green,1,715,us,0,3.741,22.0,mww,12.0,5.7732,-78.1999,"Bahía Solano, Colombia",,
"M 6.5 - 38 km ESE of Blenheim, New Zealand",6.5,6,7,yellow,1,693,us,229,0.0,20.0,mww,17.0,-41.704,174.337,"Blenheim, New Zealand",,New Zealand
M 7.3 - South Sandwich Islands region,7.3,0,6,green,1,820,us,398,0.0,43.0,mww,11.0,-60.857,-25.07,South Sandwich Islands region,,United Kingdom of Great Britain and Northern Ireland (the)
"M 7.3 - 190 km ENE of Kokopo, Papua New Guinea",7.3,0,4,green,1,820,us,117,0.0,24.0,mww,385.5,-3.917,153.927,"Kokopo, Papua New Guinea",,Papua New Guinea
M 6.6 - northern Mid-Atlantic Ridge,6.6,0,7,green,1,670,us,111,0.0,16.0,mww,10.0,10.701,-42.594,northern Mid-Atlantic Ridge,,
"M 6.5 - 44 km W of Masachapa, Nicaragua",6.5,5,6,green,1,679,us,698,0.0,27.0,mww,30.0,11.763,-86.926,"Masachapa, Nicaragua",,
M 6.7 - Sea of Okhotsk,6.7,0,3,green,1,691,us,217,0.0,25.2,mwb,624.0,52.235,151.444,Okhotsk,,
M 8.3 - Sea of Okhotsk,8.3,5,5,green,1,1115,us,385,0.0,10.0,mww,598.1,54.892,153.221,Okhotsk,,
"M 7.4 - 292 km SW of Vaini, Tonga",7.4,0,6,green,1,842,us,626,0.0,16.0,mww,173.7,-23.009,-177.232,"Vaini, Tonga",,
"M 6.5 - 33 km N of Rabaul, Papua New Guinea",6.5,0,6,green,1,650,us,264,0.0,16.6,mww,10.0,-3.898,152.127,"Rabaul, Papua New Guinea",,Papua New Guinea
"M 7.2 - 252 km ENE of Kuril’sk, Russia",7.2,5,7,green,1,804,us,770,0.0,10.1,mww,110.0,46.221,150.788,"Kuril’sk, Russia",Asia,Russia
"M 6.6 - 23 km ESE of Aitape, Papua New Guinea",6.6,7,7,green,1,672,us,445,0.0,11.0,mww,13.0,-3.214,142.542,"Aitape, Papua New Guinea",,Papua New Guinea
"M 6.6 - 98 km W of Panguna, Papua New Guinea",6.6,0,5,green,1,670,us,491,0.0,11.5,mww,31.0,-6.475,154.607,"Panguna, Papua New Guinea",,
"M 7.0 - 260 km WSW of Abepura, Indonesia",7.0,3,7,green,1,755,us,640,0.0,11.4,mww,66.0,-3.517,138.476,"Abepura, Indonesia",,Indonesia
"M 6.5 - 36 km E of Finschhafen, Papua New Guinea",6.5,0,6,green,1,650,us,317,0.0,14.2,mww,28.0,-6.598,148.174,"Finschhafen, Papua New Guinea",,Papua New Guinea
"M 6.9 - 81 km SE of Ozernovskiy, Russia",6.9,5,6,green,1,736,us,531,0.0,20.7,mww,41.0,50.954,157.283,"Ozernovskiy, Russia",Asia,
"M 6.6 - 183 km SW of Belaya Gora, Russia",6.6,0,7,green,1,670,us,697,0.0,15.3,mww,11.0,67.631,142.508,"Belaya Gora, Russia",Asia,Russia
